Transaction ID,Date,Time,Store Name,Store Type,Region,Brand,Product,Quantity,Unit Price,Total,Payment Method
TRX-000001,2025-04-11,06:51:53,"Ate Rose Store",sari-sari,NCR,Philip Morris,"Philip Morris Red 20s",2,140,280,Cash
TRX-000002,2025-04-27,13:47:13,"Lapaz Market",grocery,Region VI,Marlboro,"Marlboro Red 20s",1,160,160,GCash
TRX-000003,2025-06-14,13:17:22,"Lacson Mart",convenience,Region VI,Marlboro,"Marlboro Gold 20s",2,160,320,GCash
TRX-000004,2025-06-23,12:28:28,"Matina Market",sari-sari,Region XI,Marlboro,"Marlboro Red 20s",2,160,320,Maya
TRX-000005,2025-05-13,20:01:13,"Vigan Central Store",sari-sari,Region I,Camel,"Camel Menthol 20s",2,155,310,Maya
TRX-000006,2025-04-27,17:34:34,"Makati Convenience",convenience,NCR,Camel,"Camel Menthol 20s",1,155,155,Cash
TRX-000007,2025-05-07,18:28:54,"Heights Store",sari-sari,Region IV-A,Mighty,"Mighty Red 10s",2,65,130,Maya
TRX-000007,2025-05-07,18:28:54,"Heights Store",sari-sari,Region IV-A,More,"More Menthol 20s",2,140,280,Maya
TRX-000007,2025-05-07,18:28:54,"Heights Store",sari-sari,Region IV-A,Winston,"Winston Red 10s",1,75,75,Maya
TRX-000008,2025-06-06,06:04:26,"Matina Market",sari-sari,Region XI,Winston,"Winston Red 20s",1,150,150,GCash
TRX-000008,2025-06-06,06:04:26,"Matina Market",sari-sari,Region XI,Camel,"Camel Yellow 20s",1,155,155,GCash
TRX-000009,2025-05-16,19:39:21,"IT Park Mart",convenience,Region VII,Mighty,"Mighty Premium 20s",2,140,280,Cash
TRX-000010,2025-05-17,19:18:55,"Mandalagan Store",sari-sari,Region VI,Fortune,"Fortune Red 20s",2,130,260,Cash
TRX-000011,2025-04-27,19:27:49,"Tuguegarao Central",grocery,Region II,Mighty,"Mighty Menthol 20s",1,130,130,Cash
TRX-000011,2025-04-27,19:27:49,"Tuguegarao Central",grocery,Region II,Winston,"Winston Red 20s",1,150,150,Cash
TRX-000011,2025-04-27,19:27:49,"Tuguegarao Central",grocery,Region II,Mevius,"Mevius Sky Blue 20s",1,160,160,Cash
TRX-000012,2025-04-26,08:35:50,"Laoag Express Mart",grocery,Region I,Mighty,"Mighty Menthol 20s",2,130,260,Cash
TRX-000013,2025-06-13,12:05:43,"Zamboanga Central",grocery,Region IX,Winston,"Winston Blue 20s",2,150,300,Cash
